"Data for weekly deaths (occurrences), by Health Board and location, 2015-2019",,,,,,,,,
,,,,,,,,,
week of occurrence,health board,location,year,number of deaths,,,,,
,,,,,,,,,
01,Ayrshire and Arran,Care Home,2015,23,,,,,
01,Ayrshire and Arran,Home / Non-institution,2015,28,,,,,
01,Ayrshire and Arran,Hospital,2015,55,,,,,
01,Borders,Care Home,2015,3,,,,,
01,Borders,Home / Non-institution,2015,6,,,,,
01,Borders,Hospital,2015,20,,,,,
01,Dumfries and Galloway,Care Home,2015,12,,,,,
01,Dumfries and Galloway,Home / Non-institution,2015,7,,,,,
01,Dumfries and Galloway,Hospital,2015,24,,,,,
01,Fife,Care Home,2015,22,,,,,
01,Fife,Home / Non-institution,2015,15,,,,,
01,Fife,Hospital,2015,46,,,,,
01,Forth Valley,Care Home,2015,13,,,,,
01,Forth Valley,Home / Non-institution,2015,19,,,,,
01,Forth Valley,Hospital,2015,36,,,,,
01,Grampian,Care Home,2015,31,,,,,
01,Grampian,Home / Non-institution,2015,21,,,,,
01,Grampian,Hospital,2015,63,,,,,
01,Greater Glasgow and Clyde,Care Home,2015,52,,,,,
01,Greater Glasgow and Clyde,Home / Non-institution,2015,67,,,,,
01,Greater Glasgow and Clyde,Hospital,2015,166,,,,,
01,Highland,Care Home,2015,18,,,,,
01,Highland,Home / Non-institution,2015,24,,,,,
01,Highland,Hospital,2015,47,,,,,
01,Lanarkshire,Care Home,2015,40,,,,,
01,Lanarkshire,Home / Non-institution,2015,34,,,,,
01,Lanarkshire,Hospital,2015,97,,,,,
01,Lothian,Care Home,2015,54,,,,,
01,Lothian,Home / Non-institution,2015,37,,,,,
01,Lothian,Hospital,2015,95,,,,,
01,Orkney,Care Home,2015,1,,,,,
01,Orkney,Home / Non-institution,2015,1,,,,,
01,Orkney,Hospital,2015,1,,,,,
01,Shetland,Care Home,2015,3,,,,,
01,Shetland,Hospital,2015,2,,,,,
01,Tayside,Care Home,2015,30,,,,,
01,Tayside,Home / Non-institution,2015,35,,,,,
01,Tayside,Hospital,2015,60,,,,,
01,Tayside,Other institution,2015,1,,,,,
01,Western Isles,Care Home,2015,2,,,,,
01,Western Isles,Home / Non-institution,2015,4,,,,,
01,Western Isles,Hospital,2015,3,,,,,
02,Ayrshire and Arran,Care Home,2015,31,,,,,
02,Ayrshire and Arran,Home / Non-institution,2015,27,,,,,
02,Ayrshire and Arran,Hospital,2015,46,,,,,
02,Borders,Care Home,2015,5,,,,,
02,Borders,Home / Non-institution,2015,10,,,,,
02,Borders,Hospital,2015,20,,,,,
02,Dumfries and Galloway,Care Home,2015,8,,,,,
